X,Y,SUBTYPE
-121.5029072,38.6345367,CHRISTIAN
-121.5035661,38.4952314,CHRISTIAN
-121.4701718,38.5732078,CHRISTIAN
-121.437499,38.5506295,CHRISTIAN
-121.5022598,38.4783637,CHRISTIAN
-121.4342988,38.5597097,CHRISTIAN
-121.4533248,38.4845525,CHRISTIAN
-121.4683626,38.5442804,CHRISTIAN
-121.445113,38.6142565,CHRISTIAN
-121.4676591,38.5373652,CHRISTIAN
-121.476001,38.5262664,CHRISTIAN
-121.4857951,38.5344197,CHRISTIAN
-121.4324294,38.5192151,CHRISTIAN
-121.4758714,38.5729592,CHRISTIAN
-121.4426911,38.6950691,CHRISTIAN
-121.4286671,38.6871154,CHRISTIAN
-123.07234,44.0919793,CHRISTIAN
-122.0152022,37.5549709,CHRISTIAN
-122.2369184,37.7677087,BUDDHIST
-122.2598126,37.7731626,CHRISTIAN
-122.2917453,37.8909336,CHRISTIAN
-122.2755938,37.8571448,CHRISTIAN
-122.2659916,37.8566712,CHRISTIAN
-122.2793506,37.8923981,CHRISTIAN
-122.294758,37.8688873,CHRISTIAN
-122.2616321,37.8669791,CHRISTIAN
-122.2988272,37.8778146,CHRISTIAN
-122.2632471,37.867918,CHRISTIAN
-122.0736381,37.7097788,CHRISTIAN
-121.4281847,38.5397882,CHRISTIAN
-122.0718152,37.68558,CHRISTIAN
-122.0731213,37.6836426,CHRISTIAN
-122.0034734,37.5571088,CHRISTIAN
-122.1161135,37.663617,CHRISTIAN
-122.0593184,37.6423487,CHRISTIAN
-122.108254,37.6612117,CHRISTIAN
-122.0816177,37.6412153,CHRISTIAN
-121.9963569,37.5202182,MUSLIM
-122.2489886,37.8078396,CHRISTIAN
-122.1920167,37.7720937,CHRISTIAN
-122.2432733,37.7898641,CHRISTIAN
-122.1946702,37.7564035,CHRISTIAN
-122.1929132,37.7317603,CHRISTIAN
-122.1849193,37.7701952,CHRISTIAN
-122.2690594,37.8369087,CHRISTIAN
-122.1958337,37.7646046,CHRISTIAN
-122.2876103,37.8064361,CHRISTIAN
-122.2695962,37.8113671,CHRISTIAN
-122.0984284,37.6402891,CHRISTIAN
-121.4844328,38.5758282,CHRISTIAN
-123.0237394,44.0486654,CHRISTIAN
-121.444175,38.4832259,CHRISTIAN
-123.2856145,44.5773305,BUDDHIST
-124.1849188,43.1857929,CHRISTIAN
-124.4035201,43.1188196,CHRISTIAN
-122.7982616,42.4752451,CHRISTIAN
-122.846874,42.3258425,CHRISTIAN
-122.8847402,42.3970547,CHRISTIAN
-123.0627035,43.7992653,BUDDHIST
-122.6718446,42.1706976,BUDDHIST
-122.8216458,42.438228,MUSLIM
-123.3519757,43.2173102,BUDDHIST
-123.3309226,42.4370365,CHRISTIAN
-123.4291289,42.5160451,CHRISTIAN
-123.0815347,44.0133441,CHRISTIAN
-123.0962571,44.0479998,CHRISTIAN
-123.1477824,44.0896803,CHRISTIAN
-123.1409237,44.1226922,CHRISTIAN
-123.123192,44.0359038,BUDDHIST
-124.111476,43.9695965,CHRISTIAN
-122.9689704,44.0428958,CHRISTIAN
-122.9628588,44.0437307,CHRISTIAN
-123.0102118,44.0520466,CHRISTIAN
-122.6894975,42.1807051,BUDDHIST
-123.1974302,44.0852676,CHRISTIAN
-124.2156901,43.5029043,CHRISTIAN
-123.086321,44.0463003,HINDU
-123.805402,44.665778,CHRISTIAN
-124.0460153,44.6387399,CHRISTIAN
-123.0942349,44.6351241,CHRISTIAN
-122.62616,42.0512218,BUDDHIST
-122.9035713,44.541387,CHRISTIAN
-121.8827892,38.0270227,MUSLIM
-123.365046,42.9498699,CHRISTIAN
-122.410674,37.6276042,BUDDHIST
-121.6156778,39.7545257,CHRISTIAN
-122.4830353,37.7743472,BUDDHIST
-122.4262778,37.7676451,BUDDHIST
-123.2678006,44.5655363,BUDDHIST
-122.1259984,37.6863632,CHRISTIAN
-122.5947109,37.9926902,BUDDHIST
-122.303707,37.9183149,BUDDHIST
-122.1157493,37.4251536,CHRISTIAN
-122.0202249,37.565312,CHRISTIAN
